title,description,price,category,stock,imageUrl
Essential Towel,"The Essential Towel is the ultimate choice for Home & Kitchen enthusiasts. With ergonomic design and compact storage, you won't be disappointed.",63.97,Home & Kitchen,27,https://picsum.photos/seed/1000/300/300
Advanced Cage,"Discover the power of the Advanced Cage. Including long-lasting battery life and user-friendly interface, it is designed to last.",666.92,Pet Supplies,169,https://picsum.photos/seed/1001/300/300
Versatile Level,"The Versatile Level is the ultimate choice for Tools & Home Improvement enthusiasts. With easy functionality and water resistance, you won't be disappointed.",830.33,Tools & Home Improvement,140,https://picsum.photos/seed/1002/300/300
Compact Mask,"The Compact Mask is the ultimate choice for Health & Personal Care enthusiasts. With modern aesthetics and long-lasting battery life, you won't be disappointed.",15.27,Health & Personal Care,96,https://picsum.photos/seed/1003/300/300
Stylish Lotion,"Experience the best with our Stylish Lotion. Designed for maximum comfort, it offers user-friendly interface and easy functionality.",621.91,Health & Personal Care,62,https://picsum.photos/seed/1004/300/300
Compact Water Bottle,"Experience the best with our Compact Water Bottle. Designed for maximum comfort, it offers compact storage and ergonomic design.",106.02,Sports & Outdoors,461,https://picsum.photos/seed/1005/300/300
Stylish Compass,"Upgrade your lifestyle with this Stylish Compass. It features user-friendly interface, making it perfect for reliable performance.",203.81,Sports & Outdoors,436,https://picsum.photos/seed/1006/300/300
Essential Collar,"Discover the power of the Essential Collar. Including user-friendly interface and long-lasting battery life, it is designed to last.",488.01,Pet Supplies,207,https://picsum.photos/seed/1007/300/300
Versatile Toolbox,"Upgrade your lifestyle with this Versatile Toolbox. It features user-friendly interface, making it perfect for maximum comfort.",210.03,Tools & Home Improvement,356,https://picsum.photos/seed/1008/300/300
Versatile Compass,"Experience the best with our Versatile Compass. Designed for enhancing your home, it offers long-lasting battery life and seamless integration.",535.38,Sports & Outdoors,47,https://picsum.photos/seed/1009/300/300
Eco-friendly Tablet,"Experience the best with our Eco-friendly Tablet. Designed for maximum comfort, it offers ergonomic design and energy efficiency.",563.69,Electronics,419,https://picsum.photos/seed/1010/300/300
Eco-friendly Journal,"Discover the power of the Eco-friendly Journal. Including robust construction and user-friendly interface, it is designed to last.",651.04,Books,354,https://picsum.photos/seed/1011/300/300
Stylish First Aid Kit,"Experience the best with our Stylish First Aid Kit. Designed for improving efficiency, it offers rapid performance and seamless integration.",972.12,Health & Personal Care,489,https://picsum.photos/seed/1012/300/300
Compact Blender,"Upgrade your lifestyle with this Compact Blender. It features compact storage, making it perfect for reliable performance.",464.2,Home & Kitchen,123,https://picsum.photos/seed/1013/300/300
Durable Building Blocks,Our Durable Building Blocks combines style and functionality. Key features include robust construction and long-lasting battery life. Ideal for everyday use.,194.32,Toys & Games,14,https://picsum.photos/seed/1014/300/300
High-performance Comic,"Discover the power of the High-performance Comic. Including long-lasting battery life and robust construction, it is designed to last.",695.72,Books,278,https://picsum.photos/seed/1015/300/300
Versatile Model Kit,"The Versatile Model Kit is the ultimate choice for Toys & Games enthusiasts. With seamless integration and compact storage, you won't be disappointed.",606.12,Toys & Games,56,https://picsum.photos/seed/1016/300/300
Stylish Vacuum,Our Stylish Vacuum combines style and functionality. Key features include robust construction and energy efficiency. Ideal for everyday use.,518.05,Automotive,173,https://picsum.photos/seed/1017/300/300
Modern Guide,Our Modern Guide combines style and functionality. Key features include energy efficiency and easy functionality. Ideal for everyday use.,964.93,Books,236,https://picsum.photos/seed/1018/300/300
Versatile Water Bottle,"Experience the best with our Versatile Water Bottle. Designed for maximum comfort, it offers compact storage and rapid performance.",59.93,Sports & Outdoors,286,https://picsum.photos/seed/1019/300/300
High-performance Carrier,Our High-performance Carrier combines style and functionality. Key features include modern aesthetics and robust construction. Ideal for everyday use.,471.29,Pet Supplies,436,https://picsum.photos/seed/1020/300/300
Eco-friendly Oil,Our Eco-friendly Oil combines style and functionality. Key features include energy efficiency and seamless integration. Ideal for everyday use.,670.05,Automotive,40,https://picsum.photos/seed/1021/300/300
Versatile Towel,Our Versatile Towel combines style and functionality. Key features include water resistance and compact storage. Ideal for everyday use.,396.67,Home & Kitchen,469,https://picsum.photos/seed/1022/300/300
Advanced Tire Inflator,"Discover the power of the Advanced Tire Inflator. Including energy efficiency and long-lasting battery life, it is designed to last.",925.13,Automotive,83,https://picsum.photos/seed/1023/300/300
Durable Pillow,Our Durable Pillow combines style and functionality. Key features include robust construction and long-lasting battery life. Ideal for everyday use.,878.88,Home & Kitchen,152,https://picsum.photos/seed/1024/300/300
Compact Model Kit,"The Compact Model Kit is the ultimate choice for Toys & Games enthusiasts. With energy efficiency and seamless integration, you won't be disappointed.",185.81,Toys & Games,365,https://picsum.photos/seed/1025/300/300
Eco-friendly Wrench,"Discover the power of the Eco-friendly Wrench. Including energy efficiency and user-friendly interface, it is designed to last.",549.85,Tools & Home Improvement,403,https://picsum.photos/seed/1026/300/300
Eco-friendly First Aid Kit,Our Eco-friendly First Aid Kit combines style and functionality. Key features include ergonomic design and rapid performance. Ideal for everyday use.,886.22,Health & Personal Care,202,https://picsum.photos/seed/1027/300/300
High-performance Pliers,"The High-performance Pliers is the ultimate choice for Tools & Home Improvement enthusiasts. With user-friendly interface and high-quality materials, you won't be disappointed.",746.03,Tools & Home Improvement,48,https://picsum.photos/seed/1028/300/300
Advanced Water Bottle,"Upgrade your lifestyle with this Advanced Water Bottle. It features robust construction, making it perfect for outdoor adventures.",64.29,Sports & Outdoors,279,https://picsum.photos/seed/1029/300/300
High-performance Collar,Our High-performance Collar combines style and functionality. Key features include user-friendly interface and long-lasting battery life. Ideal for everyday use.,226.71,Pet Supplies,275,https://picsum.photos/seed/1030/300/300
Modern Pillow,"Upgrade your lifestyle with this Modern Pillow. It features easy functionality, making it perfect for gift giving.",254.74,Home & Kitchen,148,https://picsum.photos/seed/1031/300/300
High-performance Toaster,Our High-performance Toaster combines style and functionality. Key features include high-quality materials and easy functionality. Ideal for everyday use.,737.49,Home & Kitchen,336,https://picsum.photos/seed/1032/300/300
Premium Lamp,"The Premium Lamp is the ultimate choice for Home & Kitchen enthusiasts. With energy efficiency and ergonomic design, you won't be disappointed.",388.79,Home & Kitchen,246,https://picsum.photos/seed/1033/300/300
Durable Drone,"Discover the power of the Durable Drone. Including energy efficiency and easy functionality, it is designed to last.",499.36,Electronics,93,https://picsum.photos/seed/1034/300/300
Stylish Level,"Experience the best with our Stylish Level. Designed for improving efficiency, it offers long-lasting battery life and high-quality materials.",459.56,Tools & Home Improvement,21,https://picsum.photos/seed/1035/300/300
Advanced Atlas,"Discover the power of the Advanced Atlas. Including seamless integration and water resistance, it is designed to last.",818.76,Books,443,https://picsum.photos/seed/1036/300/300
