title,description,price,category,stock,imageUrl
Premium T-Shirt 001,"Upgrade your lifestyle with this Premium T-Shirt. It features high-quality materials, making it perfect for enhancing your home.",444.27,Clothing,187,https://picsum.photos/seed/2000/300/300
Premium Bowl 002,"Upgrade your lifestyle with this Premium Bowl. It features ergonomic design, making it perfect for professional use.",732.4,Pet Supplies,327,https://picsum.photos/seed/2001/300/300
Essential Smartphone 003,"The Essential Smartphone 003 is the ultimate choice for Electronics enthusiasts. With modern aesthetics and easy functionality, you won't be disappointed.",496.23,Electronics,483,https://picsum.photos/seed/2002/300/300
Eco-friendly Action Figure 004,"The Eco-friendly Action Figure 004 is the ultimate choice for Toys & Games enthusiasts. With robust construction and user-friendly interface, you won't be disappointed.",340.81,Toys & Games,414,https://picsum.photos/seed/2003/300/300
Durable Rug 005,"The Durable Rug 005 is the ultimate choice for Home & Kitchen enthusiasts. With easy functionality and seamless integration, you won't be disappointed.",220.95,Home & Kitchen,497,https://picsum.photos/seed/2004/300/300
Essential Drone 006,"Upgrade your lifestyle with this Essential Drone. It features modern aesthetics, making it perfect for reliable performance.",802.14,Electronics,436,https://picsum.photos/seed/2005/300/300
Essential Jack 007,Our Essential Jack 007 combines style and functionality. Key features include rapid performance and energy efficiency. Ideal for everyday use.,177.72,Automotive,195,https://picsum.photos/seed/2006/300/300
High-performance Cat Toy 008,"Discover the power of the High-performance Cat Toy 008. Including rapid performance and compact storage, it is designed to last.",202.27,Pet Supplies,404,https://picsum.photos/seed/2007/300/300
High-performance Hammer 009,"Upgrade your lifestyle with this High-performance Hammer. It features user-friendly interface, making it perfect for improving efficiency.",335.98,Tools & Home Improvement,53,https://picsum.photos/seed/2008/300/300
Essential Level 010,"Upgrade your lifestyle with this Essential Level. It features robust construction, making it perfect for reliable performance.",553.42,Tools & Home Improvement,228,https://picsum.photos/seed/2009/300/300
Modern Battery 011,"Experience the best with our Modern Battery 011. Designed for professional use, it offers compact storage and robust construction.",144.01,Automotive,162,https://picsum.photos/seed/2010/300/300
